CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,675,-237,"1,726",28.30,698.95,226.95,100,696.80,703.35,150,"15,600.00","1,700",2.80,3.00,"1,300",-12.00,3.00,24.02,"6,10,387","8,118","60,069",
,143,-50,333,22.26,644.15,222.55,100,647.35,692.75,450,"15,650.00",300,3.50,3.70,400,-15.50,3.50,23.09,"3,05,261","24,250","41,894",
,"1,852","-1,104","4,586",25.52,600.00,218.60,50,599.20,604.15,100,"15,700.00",50,4.00,4.20,"1,400",-20.15,4.20,22.23,"8,25,210","24,454","76,863",
,313,-243,"1,080",23.83,550.15,214.05,50,548.70,554.90,150,"15,750.00","1,100",4.55,5.00,50,-25.95,4.80,21.16,"4,22,829","18,042","39,174",
,"4,722","-7,621","26,441",22.79,501.55,205.15,50,501.60,503.75,50,"15,800.00","1,650",5.70,6.35,450,-32.85,6.30,20.60,"9,06,311","16,474","87,081",
,"1,643",-416,"3,777",21.44,452.60,197.00,150,451.85,457.05,100,"15,850.00",50,7.55,7.70,"2,150",-42.55,7.40,19.54,"4,52,119","25,407","49,781",
,"9,299","-9,418","70,922",20.83,405.70,187.05,50,406.40,409.00,50,"15,900.00","1,900",10.05,10.20,"1,800",-52.55,10.05,19.09,"9,40,023","8,634","90,468",
,"6,194","-8,853","44,934",19.85,358.60,174.25,250,358.35,362.00,50,"15,950.00",50,13.10,13.50,300,-64.35,13.80,18.71,"4,86,868","12,694","41,417",
,"34,427","-35,971","3,81,384",19.44,314.20,161.45,900,314.25,317.55,150,"16,000.00",50,17.75,18.00,"7,450",-78.80,17.90,18.04,"13,29,727","39,435","1,27,519",
,"8,286","-13,838","1,61,042",18.68,270.00,145.45,"4,150",270.00,273.25,400,"16,050.00",300,22.90,23.80,"1,550",-93.35,23.80,17.50,"5,48,032","26,895","42,144",
,"24,803","-33,628","7,18,606",18.04,228.00,128.00,250,228.05,230.00,"1,600","16,100.00",50,31.00,32.05,550,-109.65,32.00,17.08,"13,60,076","83,992","1,02,265",
,"10,293","-12,056","5,71,266",17.56,189.00,110.65,200,187.70,192.00,200,"16,150.00","3,000",42.00,43.45,50,-128.30,42.00,16.52,"8,22,380","39,916","44,583",
,"69,929","1,638","25,43,584",16.93,151.95,91.80,250,152.25,155.90,150,"16,200.00","2,450",55.55,57.00,950,-145.75,56.00,16.17,"20,79,137","1,08,159","1,16,635",
,"23,237","2,394","11,63,054",16.61,120.00,75.65,50,120.40,122.95,50,"16,250.00","8,300",73.20,75.00,"5,200",-160.05,75.00,16.06,"5,65,841","29,739","30,606",
,"82,638","21,610","20,64,113",16.64,94.00,61.60,50,93.25,94.00,600,"16,300.00","1,750",95.00,96.60,150,-175.35,96.55,15.70,"6,39,991","34,512","39,435",
,"34,660","5,694","7,20,182",16.32,70.00,46.95,950,69.05,70.00,"4,650","16,350.00",50,120.65,122.00,100,-194.65,122.00,15.26,"88,634","7,211","7,566",
,"88,964","22,782","13,63,292",15.99,50.10,34.05,300,50.10,50.95,100,"16,400.00",100,149.00,152.00,50,-205.65,153.00,15.02,"1,21,155","7,122","8,918",
,"27,454","-3,967","5,92,600",15.58,33.95,23.10,"1,000",34.05,35.00,"3,800","16,450.00",100,185.60,188.00,50,-214.75,184.00,13.84,"13,109","1,042","1,146",
,"1,04,721","24,997","16,84,588",15.39,22.55,14.75,"3,200",22.50,23.00,350,"16,500.00",250,222.85,226.70,100,-226.65,225.00,13.93,"54,082","2,587","5,596",
,"47,121","16,661","7,49,687",15.10,14.00,8.55,"2,750",14.00,15.00,600,"16,550.00",150,263.25,267.70,50,-233.10,267.70,13.63,"1,381",246,302,
,"1,12,791","18,785","11,95,520",14.91,8.40,4.35,"2,800",8.40,9.00,"5,700","16,600.00",700,311.00,313.25,150,-235.15,311.00,12.03,"7,997",339,"1,587",
,"30,890","12,568","3,26,716",14.96,5.15,2.20,"1,950",5.15,5.45,200,"16,650.00",100,355.05,360.30,150,-228.75,359.80,12.52,165,22,73,
,"67,174","17,108","7,02,219",15.30,3.40,1.20,"2,800",3.10,3.40,"33,300","16,700.00",50,402.70,406.65,150,-233.15,404.85,-,"1,500",221,606,
,"20,547","9,773","2,12,374",15.66,2.25,0.50,50,2.25,2.30,900,"16,750.00",150,450.55,461.75,350,-231.90,458.15,12.40,96,20,59,
,"48,369","15,514","3,96,333",16.40,1.75,0.30,250,1.65,1.75,"17,700","16,800.00",150,500.55,506.35,50,-236.25,502.10,-,593,94,412,
,"7,599","4,549","47,459",16.91,1.25,-0.05,50,1.20,1.25,300,"16,850.00",50,549.85,556.30,150,-221.05,564.30,22.30,326,64,66,
,"37,401","18,737","1,91,623",17.53,0.95,-0.25,"1,22,300",0.85,0.95,"10,550","16,900.00",150,599.50,605.70,50,-234.20,608.40,17.12,93,45,96,
,"3,022","1,511","17,171",18.50,0.85,-0.25,"4,700",0.80,0.85,"11,000","16,950.00",150,649.00,656.30,150,-250.50,666.20,26.73,28,-3,17,
,"63,015","8,293","2,13,011",19.40,0.75,-0.35,"3,40,000",0.70,0.75,"34,450","17,000.00",500,700.00,704.30,50,-239.65,700.90,-,"1,204",-192,"1,146",
,"1,769",790,"8,805",20.40,0.70,-0.35,"6,750",0.65,0.70,550,"17,050.00",450,713.20,765.30,450,-,"1,000.00",-,-,-,1,
,"8,364",369,"26,300",21.18,0.60,-0.30,"48,550",0.60,0.70,"21,400","17,100.00","1,000",797.40,810.85,450,-,"1,035.00",-,-,-,12,
,"1,100",874,"9,670",22.09,0.55,-0.35,"10,950",0.55,0.65,"16,800","17,150.00","1,000",839.20,902.90,"1,700",-430.05,975.00,68.19,1,1,1,
,"14,183",66,"18,561",23.42,0.60,-0.30,"1,500",0.60,0.70,"1,350","17,200.00",200,897.55,905.25,150,-,"1,300.00",-,-,-,30,
,"1,677","1,073","4,964",24.30,0.55,-0.25,"23,900",0.55,0.65,"15,550","17,250.00",300,919.75,965.85,450,-,"1,335.00",-,-,-,15,
,"2,246",478,"8,531",25.63,0.60,-0.20,"4,900",0.60,0.65,600,"17,300.00",300,995.75,"1,005.80",200,-,"1,405.00",-,-,-,16,
,325,-362,"3,561",26.47,0.55,-0.25,"7,450",0.55,0.60,800,"17,350.00",450,"1,016.30","1,079.15",450,-,-,-,-,-,-,
,"1,698",661,"6,935",27.55,0.55,-0.20,"5,900",0.55,0.60,"2,600","17,400.00",450,"1,057.70","1,128.65",450,-,-,-,-,-,-,
,746,-72,"4,163",28.62,0.55,-0.20,"2,800",0.50,0.65,"13,150","17,450.00",300,"1,146.15","1,156.45",400,-,"1,560.00",-,-,-,50,
,"17,530","-4,462","61,754",29.68,0.55,-0.15,"1,07,850",0.50,0.55,"1,62,300","17,500.00",300,"1,197.20","1,203.65",200,-227.30,"1,212.35",39.58,64,-29,181,
,276,54,"3,164",30.73,0.55,-0.25,750,0.55,0.60,"2,600","17,550.00",450,"1,219.65","1,270.00",450,-,"1,600.00",-,-,-,10,
,832,273,"6,104",31.78,0.55,-0.20,"3,400",0.50,0.60,"5,200","17,600.00",450,"1,262.10","1,319.55",450,-,"1,680.00",-,-,-,20,
,325,174,"1,714",32.50,0.50,-0.20,"6,200",0.50,0.60,"1,250","17,650.00",150,"1,309.55","1,386.40",150,-,-,-,-,-,-,
,"1,321",954,"10,158",32.80,0.40,-0.30,"5,400",0.30,0.50,"3,400","17,700.00","1,000","1,361.75","1,452.50","1,250",-,-,-,-,-,-,
,428,29,611,34.55,0.50,-0.20,"2,800",0.50,0.75,"3,400","17,750.00","1,000","1,409.45","1,512.35","1,250",-,-,-,-,-,-,
,920,53,784,35.56,0.50,-0.20,"3,400",0.50,0.65,"3,500","17,800.00",250,"1,483.25","1,537.70","1,250",-,-,-,-,-,-,
,142,49,"1,241",36.92,0.55,-0.15,"4,400",0.55,0.60,"2,000","17,850.00","1,000","1,508.20","1,613.75","1,250",-,-,-,-,-,-,
,835,-12,"5,846",36.78,0.40,-0.30,"2,800",0.45,0.50,"2,950","17,900.00",250,"1,583.60","1,670.80","1,250",-,-,-,-,-,-,
,179,104,913,38.57,0.50,-0.20,"3,800",0.45,0.65,"2,300","17,950.00","1,000","1,608.60","1,715.45","1,250",-,-,-,-,-,-,
,"40,024","12,095","86,872",39.57,0.50,-0.25,"56,950",0.50,0.55,"1,18,400","18,000.00",200,"1,661.95","1,706.65",150,-207.00,"1,715.00",56.19,5,5,109,
,180,58,"5,278",40.55,0.50,-0.25,"2,050",0.50,0.70,"1,000","18,050.00","1,000","1,706.50","1,817.10","1,250",-,"1,991.00",-,-,-,2,
,"3,135",-285,"2,557",41.92,0.55,-0.10,"5,600",0.50,0.55,"4,950","18,100.00","1,000","1,755.20","1,856.30","1,250",-,"2,135.00",-,-,-,1,
,"4,254",122,"4,158",42.51,0.50,-0.20,"4,750",0.45,0.50,"4,750","18,150.00","1,250","1,810.80","1,911.05","1,250",-,"2,021.00",-,-,-,1,
